parameter_name,Response amplitude - S
pvalue,0.6435773
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:894679
gene_symbol,Bach2
analysis_id,9546jf25ja48w22
mouse_strain,C57BL
