analysis_id,3iw48u35d986oa7
pvalue,0.2120351
parameter_name,Startle response
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
parameter_id,ESLIM_008_001_013
