gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
pvalue,0.07637605
parameter_name,NK cell number
mouse_life_stage,Early adult
analysis_id,0ie7obk8kso5989
