analysis_id,dd6832jelz30575
parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
gene_symbol,Sprr1b
pvalue,0.3317474
gene_accession_id,MGI:106659
