analysis_id,gi54e5939x0209f
pvalue,0.364853
mouse_strain,C57BL
gene_symbol,Ddx27
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Early adult
parameter_name,Right total retinal thickness
gene_accession_id,MGI:2385884
