parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
mouse_life_stage,Early adult
pvalue,0.5641521
parameter_name,BMC/Body weight
analysis_id,cp3q4i5855z7tr0
