analysis_id,6jcb7k514v0wp88
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Hemoglobin
pvalue,0.6745018
parameter_id,IMPC_HEM_003_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
