mouse_life_stage,E12.5
parameter_id,IMPC_CSD_051_002
gene_symbol,Fgb
parameter_name,Hindlimb nail - number
pvalue,0.4561603
gene_accession_id,MGI:99501
analysis_id,j98156z7x15856b
mouse_strain,C57BL
