analysis_id,84cb23vp0l0g76h
gene_symbol,Ubxn11
mouse_strain,C57BL
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
pvalue,0.9752211
parameter_id,HRWLLA_CSD_008_001
