parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
analysis_id,8o7m01kdr5c97m0
mouse_strain,C57BL
pvalue,0.05880831
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
