analysis_id,w4v5ag8w4549epo
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.6298155
parameter_id,MGP_MLN_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
gene_symbol,Pld1
