gene_symbol,AU040320
analysis_id,6q57u219i31vb06
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,0.3427402
parameter_id,MGP_BMI_014_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
