parameter_name,Hemorrhage
mouse_life_stage,Early adult
analysis_id,eal5k23q076q2tm
gene_symbol,Ola1
pvalue,0.2940383
mouse_strain,C57BL
gene_accession_id,MGI:1914309
parameter_id,IMPC_GEO_009_002
