gene_symbol,AU040320
parameter_name,PP1 startle magnitude
pvalue,0.1543416
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,661v5vryu422h1c
gene_accession_id,MGI:2140475
parameter_id,ESLIM_011_001_002
