parameter_id,HRWLLA_CBC_014_001
analysis_id,35zw860x6jic3x1
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1923029
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5522709
gene_symbol,Dnaaf9
