analysis_id,9jc8r0h2a7ym957
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.8121115
mouse_life_stage,Early adult
gene_symbol,Pum1
gene_accession_id,MGI:1931749
parameter_id,MGP_MLN_005_001
