analysis_id,24v259z8o1u1z4p
parameter_id,HMGULA_CBC_015_001
gene_accession_id,MGI:1924315
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.1022926
parameter_name,Total cholesterol
gene_symbol,Ints7
