analysis_id,cz4j0241ie7oe25
gene_symbol,Maco1
gene_accession_id,MGI:1913396
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1197722
parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
