analysis_id,g7qm7yj682njb51
parameter_name,Body position
gene_accession_id,MGI:1336200
parameter_id,ESLIM_008_001_001
pvalue,0.8173111
gene_symbol,Hpca
mouse_life_stage,Late adult
mouse_strain,C57BL
