analysis_id,82438tje300r2k8
gene_symbol,Tbl1xr1
pvalue,0.857811
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:2441730
parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
