parameter_id,MGP_PBI_011_001
gene_symbol,Trp53i11
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.7093011
analysis_id,5k8e5i4062yh69o
gene_accession_id,MGI:2670995
