gene_symbol,Psd4
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:2674093
parameter_name,110dB startle magnitude
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,41l88p560573k30
pvalue,0.8159341
