analysis_id,b10ip60i1e3pxl0
parameter_id,MGP_BMI_014_001
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
pvalue,0.05681863
mouse_life_stage,Early adult
