analysis_id,m59235nq5o154t6
Gene_accession_id,MGI:3650254
gene_symbol,Zfp683
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_041_001
pvalue,0.9633682
mouse_life_stage,Early adult
