analysis_id,16t3tlkh13yw6po
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:2140475
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,AU040320
pvalue,1.132602e-09
