analysis_id,l0uid3z4106g555
mouse_life_stage,Early adult
gene_symbol,Kifap3
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
pvalue,0.5878515
gene_accession_id,MGI:107566
