mouse_strain,C57BL
gene_symbol,Hnf4a
gene_accession_id,MGI:109128
parameter_id,ESLIM_007_001_015
mouse_life_stage,Late adult
parameter_name,Number of centre entries
analysis_id,wtqmrt6w641ov8y
pvalue,0.2019159
