parameter_name,Embryo Size
analysis_id,871u038451ck9k2
mouse_strain,C57BL
pvalue,1.271152
mouse_life_stage,Early adult
gene_symbol,Maco1
parameter_id,IMPC_GEO_019_001
gene_accession_id,MGI:1913396
