parameter_name,Fat/Body weight
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
pvalue,0.3364719
analysis_id,rk911bu197f201b
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
gene_symbol,Ahctf1
