analysis_id,0p7g2t30gxmef52
mouse_life_stage,Early adult
gene_symbol,Ap5s1
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
pvalue,0.9264755
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1916846
