analysis_id,9fio502aazf347c
mouse_strain,C57BL
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
pvalue,1.398428e-05
