gene_symbol,Hnf4a
pvalue,0.4195805
mouse_life_stage,Middle aged adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,7g0c80446696f5k
mouse_strain,C57BL
gene_accession_id,MGI:109128
parameter_id,MGP_IMM_022_001
