parameter_id,IMPC_FEA_107_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
pvalue,0.4296225
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_life_stage,Late adult
analysis_id,t53hs90yv259fg9
mouse_strain,C57BL
