analysis_id,e40037gw54v2354
mouse_life_stage,Early adult
pvalue,0.1649241
parameter_id,HMGULA_HWT_008_001
parameter_name,Heart weight
gene_symbol,Wars2
mouse_strain,C57BL
gene_accession_id,MGI:1917810
