gene_symbol,Gja10
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:1339969
analysis_id,o692zdvh4m4626t
pvalue,0.5540727
mouse_life_stage,Early adult
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
