analysis_id,53bluo93oa4w033
parameter_name,Hindpaw - size
mouse_life_stage,Early adult
gene_symbol,Inpp1
mouse_strain,129SV
gene_accession_id,MGI:104848
pvalue,0.369492
parameter_id,JAXLA_CSD_041_002
