parameter_id,MGP_BMI_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5d5w888mh3z21b9
pvalue,0.5885014
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
