analysis_id,v9573v1m10tu3f3
mouse_strain,C57BL
parameter_name,Total protein
pvalue,0.109103
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
