gene_symbol,Gja10
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:1339969
pvalue,1.449792
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6fpty46bfpbeg6y
parameter_name,Urea (Blood Urea Nitrogen - BUN)
