analysis_id,4tkz2nznd2u04wl
pvalue,0.5280533
mouse_strain,C57BL
gene_accession_id,MGI:2181659
parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
mouse_life_stage,Early adult
gene_symbol,Tox
