parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
gene_symbol,Dmap1
analysis_id,ymy665q8r641974
pvalue,0.7465646
gene_accession_id,MGI:1913483
parameter_name,Total cholesterol
mouse_life_stage,E12.5
