analysis_id,lg91713ii62259d
gene_accession_id,MGI:1914071
parameter_name,% Pre-pulse inhibition - PPI2
mouse_strain,C53BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_034_001
pvalue,0.5284119
gene_symbol,Bcs1l
