gene_symbol,Tent5c
mouse_strain,C57BL
analysis_id,dmbgq7730x7k428
gene_accession_id,MGI:1921895
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.2006979
parameter_id,MGP_IMM_007_001
mouse_life_stage,Early adult
