parameter_name,Contact righting
mouse_strain,C57BL
gene_accession_id,MGI:1915524
parameter_id,JAXLA_CSD_077_001
pvalue,0.6439718
mouse_life_stage,Early adult
analysis_id,whd754428svdud7
gene_symbol,Toporsl
