analysis_id,9575f5y688c9049
parameter_id,MGP_IMM_129_001
mouse_life_stage,Early adult
gene_symbol,Cntfr
pvalue,0.05681646
gene_accession_id,MGI:99605
parameter_name,CD11b-high cDC - % of CD45+
mouse_strain,C57BL
