analysis_id,w3g0lrc8j952r49
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Psmd14
mouse_strain,C57BL
pvalue,0.06794047
gene_accession_id,MGI:1913284
