analysis_id,kkm5m309g6gp4e9
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
mouse_strain,C57BL
pvalue,0.405278
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
