gene_symbol,Pex19
mouse_strain,C57BL
parameter_name,Lens Opacity
pvalue,0.1294771
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
analysis_id,77k9shyh1927692
gene_accession_id,MGI:1334458
