gene_symbol,Slc2a8
parameter_name,Bone Mineral Content
mouse_strain,C57BL
parameter_id,ESLIM_005_001_005
analysis_id,x6icct4722h8d91
mouse_life_stage,Early adult
pvalue,0.06185967
gene_accession_id,MGI:1860103
