gene_symbol,Snap23
parameter_id,MGP_BMI_014_001
mouse_life_stage,Middle aged adult
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
analysis_id,ue205xi4nm1y03v
mouse_strain,C57BL
pvalue,0.07248114
gene_accession_id,MGI:109356
