parameter_name,Eosinophils
mouse_life_stage,E9.5
pvalue,0.8966315
parameter_id,IMPC_IMM_052_001
analysis_id,9u71516squ6a3xi
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_strain,C57BL
