analysis_id,j340o2se6eu2gel
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
pvalue,0.8406968
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
gene_symbol,Zmynd19
mouse_strain,C57BL
