analysis_id,lr0l1l14p460277
gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_name,Embryo turning
pvalue,0.6477527
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
