parameter_name,Spleen weight
pvalue,0.1360286
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,q676xoor7856ox7
gene_accession_id,MGI:99915
gene_symbol,Lamb3
