parameter_name,ST
gene_accession_id,MGI:1921802
parameter_id,IMPC_ECG_008_001
pvalue,0.5118586
mouse_strain,129SV
gene_symbol,Nipal3
mouse_life_stage,Early adult
analysis_id,h3a522zgu8y005s
