analysis_id,1jba9wj520a8zpv
mouse_life_stage,Early adult
gene_symbol,Trpa1
parameter_name,Macrophages - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_121_001
pvalue,0.1668742
gene_accession_id,MGI:3522699
