analysis_id,687h61fsqf6x4u9
gene_accession_id,MGI:95835
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Center average speed
gene_symbol,Hspa5
pvalue,0.3541859
