parameter_name,BMC/Body weight
analysis_id,397oa586m4402hp
gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,HRWLLA_DXA_007_001
pvalue,4.851122e-09
gene_accession_id,MGI:1336200
