gene_symbol,Pum1
parameter_id,MGP_MLN_001_001
gene_accession_id,MGI:1931749
pvalue,0.365651
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5fp7i8nce094r18
