gene_symbol,Gpbp1l1
pvalue,0.4142164
gene_accession_id,MGI:1924360
analysis_id,884f0e67zocw0g1
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_041_001
