analysis_id,9rl749c0c8306zw
mouse_strain,C57BL
pvalue,0.1613038
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,HMGULA_HWT_008_001
parameter_name,Heart weight
mouse_life_stage,E18.5
