parameter_name,ST
mouse_life_stage,E12.5
analysis_id,jwr58y7q16ukl0p
gene_accession_id,MGI:87968
mouse_strain,C57BL
gene_symbol,Ahcy
parameter_id,IMPC_ECG_008_001
pvalue,0.08378846
