parameter_name,Radius
gene_accession_id,MGI:88479
pvalue,0.2126209
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cpa3
parameter_id,IMPC_XRY_022_001
analysis_id,74ulzlzlr402hgo
