analysis_id,69yi52261l67ln0
gene_symbol,Cds2
mouse_life_stage,Early adult
mouse_strain,C55BL
gene_accession_id,MGI:1332236
pvalue,0.7038074
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
